State,Suburb,Brand,address,Postcode,Phone,E10,Regular,91 Octane,98 Octane,LPG,Diesel,Biodiesel,Premium Diesel,Eftpos,Workshop,24 Hours,Car wash,Disabled Toilet,ATM,BBQ Gas,Truckstop,Starcash,E-FLEX,95 Octane,Longitude,Latitude
NSW,PRESTONS,WOOLWORTHS CALTEX,CAMDEN VALLEY WAY CNR ASH RD,2170,02 98268298,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,150.872707,-33.956249
NSW,PROSPECT,WOOLWORTHS CALTEX,360 FLUSHCOMBE RD,2148,02 96721005,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,150.902983,-33.804599
NSW,QUEANBEYAN,WOOLWORTHS CALTEX,196 CRAWFORD ST,2620,02 62981084,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,149.233253,-35.351688
NSW,RAYMOND TERRACE,WOOLWORTHS CALTEX,39 PORT STEPHENS ST,2324,02 49877696,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,151.744375,-32.759902
NSW,RICHMOND,WOOLWORTHS CALTEX,74 EAST MARKET ST CNR LENNX ST,2753,02 45886833,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,150.751327,-33.600559
VIC,RINGWOOD,SAFEWAY CALTEX,379 MAROONDAH HWY,3134,03 98760141,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,145.243918,-37.805736
QLD,ROBINA,WOOLWORTHS CALTEX,110 LAVER DRIVE,4226,07 55622905,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,153.379945,-28.071252
VIC,ROSEBUD,SAFEWAY CALTEX,1 FOURTH AVE,3939,03 59821412,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,144.898999,-38.357291
NSW,ROSELANDS,WOOLWORTHS CALTEX,218 KING GEORGES ROAD,2196,02 97407865,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,151.073267,-33.93303
NSW,ROSEMEADOW,WOOLWORTHS CALTEX,LOT 272 THOMAS ROSE DRIVE,2560,02 46276299,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,150.798707,-34.100073
VIC,ROWVILLE,SAFEWAY CALTEX,1180 STUD RD,3178,03 97644193,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,145.23341,-37.925846
VIC,ROXBURGH PARK,SAFEWAY CALTEX,260 SOMERTON RD,3064,03 93088370,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,144.931649,-37.640943
VIC,SALE,SAFEWAY CALTEX,CUNNINGHAM ST CNR REEVES ST,3850,03 51430168,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,147.060588,-38.10714
SA,SALISBURY,WOOLWORTHS CALTEX,CNR GAWLER & JAMES ST,5108,08 82814511,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,138.643263,-34.761834
SA,SALISBURY DOWNS,WOOLWORTHS CALTEX,122 WINZOR RD,5108,08 82814511,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,138.625616,-34.766324
VIC,SEAFORD,SAFEWAY CALTEX,164 NEPEAN HWY,3198,03 97735149,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,145.1257,-38.108602
VIC,SEAFORD NRTH,SAFEWAY CALTEX,15 NEPEAN HWY,3198,03 97764274,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,145.124751,-38.086022
VIC,SEBASTOPOL,SAFEWAY CALTEX,3 HERTFORD STREET,3356,03 53356506,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,143.840722,-37.585228
NSW,SEVEN HILLS,WOOLWORTHS CALTEX,240 PROSPECT HWY,2147,02 96723681,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,150.933305,-33.776543
VIC,SEYMOUR,SAFEWAY CALTEX,43 EMILY STREET,3660,03 57924312,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,145.128629,-37.0197
NSW,SHELLHARBOUR,WOOLWORTHS CALTEX,LOT 230 LAKE ENTRANCE RD,2529,02 42978376,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,150.829989,-34.564531
VIC,SHEPPARTON EAST,SAFEWAY CALTEX,106 BENALLA RD,3631,03 58216111,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,145.42394,-36.386128
NSW,SINGLETON,WOOLWORTHS CALTEX,RYAN ST CNR BURNS LANE,2330,02 65715046,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,151.165818,-32.564944
QLD,SLACKS CREEK,WOOLWORTHS CALTEX,124 PARADISE RD,4127,07 38043207,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,153.132541,-27.640318
SA,SOMERTON PARK,WOOLWORTHS CALTEX,150 BRIGHTON ROAD,5044,08 83769859,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,138.521121,-34.991407
VIC,SOMERVILLE,SAFEWAY CALTEX,17 ERAMOSA ROAD WEST,3912,03 59779142,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,145.172901,-38.223445
TAS,SORELL,WOOLWORTHS CALTEX,12 WESTON HILL RD,7172,03 62653648,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,147.565313,-42.780464
WA,SOUTH LAKE,WOOLWORTHS CALTEX,752 NRTH LAKE RD,6164,08 94148247,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,115.838355,-32.116051
VIC,SOUTH MORANG,SAFEWAY CALTEX,10 HEATHS COURT,3082,03 94360975,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,145.08247,-37.656926
QLD,SOUTHPORT,WOOLWORTHS CALTEX,163 FERRY RD,4215,07 55282075,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,153.410951,-27.984143
NSW,ST MARYS,WOOLWORTHS CALTEX,116 FORESTORS RD,2760,02 98332131,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,150.775679,-33.755688
VIC,SUNBURY,SAFEWAY CALTEX,25-39 HORNE ST,3429,03 97407830,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,144.726415,-37.578998
VIC,SUNSHINE,SAFEWAY CALTEX,569 HARVESTER RD,3020,03 93648310,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,144.829664,-37.781371
VIC,SUNSHINE NRTH,SAFEWAY CALTEX,431 BALLARAT RD,3020,03 93101294,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,144.840468,-37.778393
VIC,SWAN HILL,SAFEWAY CALTEX,108-112 BEVERIDGE STREET,3585,03 50324840,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,143.558028,-35.33901
VIC,TAYLORS LAKE,SAFEWAY CALTEX,399 MELTON HIGHWAY,3038,03 93904311,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,144.77797,-37.696807
NSW,TAMWORTH,WOOLWORTHS CALTEX,119 BRIDGE ST CNR BELMORE ST,2340,02 67655129,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,150.916596,-31.09349
NSW,TAREE,WOOLWORTHS CALTEX,70 MANNING ST,2430,02 65513848,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,152.458392,-31.908915
NSW,TEMORA,WOOLWORTHS CALTEX,LOT 1 POLARIS ST CNR HOSKINS ST,2666,02 69780738,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,147.531868,-34.443189
QLD,TINGALPA,WOOLWORTHS CALTEX,869 MANLY RD,4173,07 38907211,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,153.142513,-27.475265
QLD,TOOWOOMBA,WOOLWORTHS CALTEX,11 JAMES ST,4350,07 46130137,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,151.976994,-27.571952
QLD,TOWNSVILLE,WOOLWORTHS CALTEX,35 KINGS RD CNR WOOLCOCK ST,4812,07 47241576,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,146.789464,-19.271053
VIC,TRARALGON,SAFEWAY CALTEX,SEYMOUR ST CNR PRINCESS HWY,3844,03 51750489,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,146.540437,-38.19693
NSW,TUGGERAH,WOOLWORTHS CALTEX,24 GAVENLOCK RD,2259,02 43536160,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,151.415158,-33.308585
ACT,TUGGERANNG,WOOLWORTHS CALTEX,SCOLLAY ST CNR SOWARD WAY,2900,02 62933437,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,149.066575,-35.418866
NSW,TUMUT,WOOLWORTHS CALTEX,29 FITZROY ST,2720,02 69474718,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,148.224448,-35.299956
NSW,TWEED HEADS,WOOLWORTHS CALTEX,61 WHARF RD,2485,07 55991382,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,153.543094,-28.172235
NSW,UNANDERRA,WOOLWORTHS CALTEX,106 PRINCESS HWY CNR TANNERY ST,2526,02 42728368,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,150.84455,-34.454891
QLD,URANGAN,WOOLWORTHS CALTEX,LOT 2 BOAT HARBOUR DR CNR ELIZABETH,4655,07 41255893,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,152.89349,-25.293097
SA,VICTOR HARBOR,WOOLWORTHS CALTEX,27 TORRENS RD,5211,08 85529284,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,138.621444,-35.553559
NSW,VINEYARD,WOOLWORTHS CALTEX,WINDSOR RD CNR MELBOURNE ST,2765,02 98381324,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,150.872359,-33.656026
NSW,WAGGA WAGGA,WOOLWORTHS CALTEX,17 FORSYTH ST,2650,02 69216988,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,147.374036,-35.114461
VIC,WANTIRNA,SAFEWAY CALTEX,699 BORONIA RD,3152,03 98870615,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,145.226331,-37.847455
NSW,WARABROOK,WOOLWORTHS CALTEX,3 ANGOPHERA ST,2304,02 49609953,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,151.719082,-32.887026
NSW,WARILLA,WOOLWORTHS CALTEX,43 SHELLHARBOUR RD,2528,02 42973884,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,150.862593,-34.545059
VIC,WARRAGUL,SAFEWAY CALTEX,53 SMITH ST,3820,03 56221620,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,145.932069,-38.160414
VIC,WARRNAMBOOL,SAFEWAY CALTEX,745 RAGLAN PARADE,3280,03 55611879,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,142.481049,-38.377649
QLD,WARWICK,WOOLWORTHS CALTEX,62 ALBION ST,4370,07 46615785,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,152.034929,-28.217096
VIC,WAURN PONDS,SAFEWAY CALTEX,PIONEER ST,3216,03 52412963,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,144.32148,-38.19993
VIC,WENDOUREE,SAFEWAY CALTEX,1253 HOWITT RD,3355,03 53399765,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,143.825524,-37.539642
VIC,WERRIBEE,SAFEWAY CALTEX,DERRIMUT RD CNR HOGANS RD,3030,03 97480797,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,144.684847,-37.863474
NSW,WERRINGTON,WOOLWORTHS CALTEX,574 GREAT WESTERN HIGHWAY,2747,02 98337589,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,150.756822,-33.768151
VIC,WHEELERS HILL,SAFEWAY CALTEX,212-216 JELLS RD,3150,03 95618179,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,145.188367,-37.911406
SA,WHYALLA,WOOLWORTHS CALTEX,711 EKVLOM ST,5600,08 86457576,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,137.534967,-33.027417
QLD,WILSONTON,WOOLWORTHS CALTEX,HOOPER ST CNR ERIN ST,4350,07 46330168,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,151.925815,-27.542825
SA,WINDSOR GARDENS,WOOLWORTHS CALTEX,368 NRTH EAST RD,5087,08 82614206,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,138.642255,-34.8674
NSW,WOLLONGONG WEST,WOOLWORTHS CALTEX,425 CROWN ST,2500,02 42298375,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,150.879978,-34.426178
VIC,WONTHAGGI,SAFEWAY CALTEX,4 MURRAY ST,3995,03 56721115,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,145.591594,-38.604774
QLD,WOODRIDGE,WOOLWORTHS CALTEX,398 KINGSTON ROAD,4114,07 38043397,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,153.118539,-27.645262
SA,WOODVILLE,WOOLWORTHS CALTEX,801 PORT RD,5011,08 83450659,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,138.534222,-34.879757
TAS,WYNYARD,WOOLWORTHS CALTEX,34 JACKSON ST,7325,03 64424891,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,145.728633,-40.990258
NSW,WYOMING,WOOLWORTHS CALTEX,522 PACIFIC HWY CNR RENWICK RD,2250,02 43297847,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,151.350075,-33.404416
QLD,YAMANTO,WOOLWORTHS CALTEX,WARWICK RD CNR CUNNINGHAM HWY,4305,07 32880403,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,152.739219,-27.661498
NSW,YOUNG,WOOLWORTHS CALTEX,LOVELL ST CNR THORNHILL ST,2594,02 63827259,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,148.290382,-34.310811
QLD,ZILLMERE,WOOLWORTHS CALTEX,396 BEAMS RD,4034,07 32165782,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,153.036405,-27.349823
NSW,TAHMOOR,WOOLWORTHS CALTEX,REMEMBERANCE DR CNR THIRLMERE WAY,2573,02 46819269,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,150.593175,-34.222313
WA,JURIEN BAY,CALTEX,131 BASHFORD STREET,6516,08 96521053,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,Y,Y,4,Y,N,Y,115.042159,-30.302799
QLD,ROSSLYN BAY,CALTEX,VINCE JONES MEMORIAL DRIVE,4703,07 4933 6865,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,150.791448,-23.164261
WA,MANDURAH,WOOLWORTHS CALTEX,318 PINJARRA RD CNR ARNLD ST,6210,08 95359679,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,115.739662,-32.53641
WA,BROOKS GARDEN ALBANY,WOOLWORTHS CALTEX,CHESTER PASS RD,6330,08 98429239,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,117.876222,-34.987949
WA,EATON,WOOLWORTHS CALTEX,LOT 7 CNR EATON & RECREATION DRIVES,6232,08 97241568,N,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,115.716906,-33.319752
VIC,NEWCOMB,SAFEWAY CALTEX,27-41 BELLARINE HWY,3219,03 52485091,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,144.387613,-38.169366
NSW,LAKE CATHIE,WOOLWORTHS CALTEX,LOT 2 OCEAN DRIVE,2445,02 65848955,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,152.854246,-31.553032
TAS,PROSPECT VALE,WOOLWORTHS CALTEX,360-364 WESTBURY RD,7250,03 63402574,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,147.126209,-41.481052
VIC,NRLANE,SAFEWAY CALTEX,290-306 ANAKIE RD BELLPOST SHOPPING,3214,03 52742559,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,144.335977,-38.089993
NSW,INVERELL,WOOLWORTHS CALTEX,262 BYRON ST,2360,02 67215438,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,151.118538,-29.76886
QLD,CURRIMUNDI,WOOLWORTHS CALTEX,LOT 1 BELLARA DRIVE CNR NICKLIN WAY,4551,07 54378006,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,153.122194,-26.773651
VIC,KYABRAM,SAFEWAY CALTEX,70-72 UNION STREET,3620,03 35823342,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,145.047313,-36.312385
NSW,HEATHCOTE,CALTEX WOOLWORTHS,1344 PRINCES HIGHWAY,2233,02 95482087,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,151.006937,-34.088411
NSW,ORANGE,WOOLWORTHS CALTEX,357-361 SUMMER ST,2800,02 63619369,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,149.105089,-33.284657
WA,RIVERVALE,CALTEX WOOLWORTHS,111 GREAT EASTERN HIGHWAY,6103,08 92772886,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,115.912917,-31.95357
WA,RIVERTON,CALTEX WOOLWORTHS,270 HIGH RD,6148,08 92595798,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,115.897106,-32.038606
WA,KARRINYUP,CALTEX WOOLWORTHS,490 KARRINYUP RD CNR NRTH BEACH RD,6018,08 94462488,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,115.796152,-31.882052
WA,SUBIACO,CALTEX WOOLWORTHS,194 ROKEBY RD CNR BAGOT RD,6008,08 93816838,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,115.824055,-31.950533
NSW,MERRYLANDS,CALTEX WOOLWORTHS,150 WOODVILLE RD CNR MERRYLANDS RD,2160,02 96823857,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,150.999707,-33.838153
QLD,MALANDA,CALTEX,42 JAMES ST,4885,07 40965646,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,1,N,N,Y,145.592785,-17.351837
NSW,GOSFORD WEST,CALTEX,69-71 PACIFIC HIGHWAY,2250,02 43257456,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,151.339557,-33.426695
ACT,CALWELL,CALTEX WOOLWORTHS,WERE ST CNR WEBBER CRESCENT,2905,02 62928001,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,149.112548,-35.434858
QLD,CARSELDINE,CALTEX WOOLWORTHS,1754 GYMPIE RD,4034,07 32633651,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,153.010818,-27.341202
NSW,FIVE DOCK,CALTEX,FAIRLIGHT ST CNR RAMSAY RD,2046,02 97132622,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,151.130092,-33.869997
WA,MORLEY,CALTEX,296 BENARA RD CNR BEECHBORO RD,6062,08 93783478,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,115.925479,-31.875669
VIC,MENTONE,CALTEX SAFEWAY,53-77 BALCOMBE RD CNR STATION ST,3194,03 95835537,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,145.066158,-37.981726
SA,WEST LAKES,WOOLWORTHS CALTEX,111 WEST LAKES BOULEVARD,5021,08 83534399,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,138.493561,-34.877206
VIC,CRAIGIEBURN,SAFEWAY CALTEX,10 CRAIGIEBURN RD,3064,03 93084575,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,144.941296,-37.598911
NSW,BASS HILL,WOOLWORTHS CALTEX,862 HUME HIGHWAY,2197,02 97282233,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,150.999302,-33.901515
VIC,YARRAWONGA,SAFEWAY CALTEX,156 BELMORE ST,3730,03 57433411,N,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,146.0047,-36.015036
VIC,ECHUCA,SAFEWAY CALTEX,102-106 ANNESLEY ST,3564,03 54824491,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,144.7525,-36.132992
VIC,MARIBYRNNG,SAFEWAY CALTEX,LOTS 1-4 WILLIAMSON RD,3032,03 93186910,N,Y,N,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,144.88211,-37.775379
VIC,MOONEE PONDS,SAFEWAY CALTEX,294-296 ASCOT VALE RD,3039,03 93752592,N,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,144.924176,-37.771636
SA,RENMARK,WOOLWORTHS CALTEX,202-206 RENMARK AVE,5341,08 85863465,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,140.745015,-34.175429
SA,PORT LINCOLN,WOOLWORTHS CALTEX,LOT 1 CNR MORTLOCK TERR & BOSTON ST,5606,08 86831464,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,135.858869,-34.725043
WA,ELLENBROOK,WOOLWORTHS CALTEX,LOT 3432 THE PROMENADE,6069,08 92971044,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,115.969081,-31.780849
VIC,WALLAN,SAFEWAY CALTEX,81 HIGH ST CNR QUEEN ST,3756,03 57833943,N,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,144.978935,-37.41282
WA,CARINE,CALTEX WOOLWORTHS,BEACH RD CNR DUFFY RD,6020,08 94474900,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,115.795494,-31.846307
VIC,CORRYONG,CALTEX,MURRAY VALLEY HWY,3707,02 60761152,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,147.882912,-36.202751
QLD,BOULDERCOMBE,CALTEX,CNR SUNRAY & BURNETT HWY,4702,07 49340280,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,150.473598,-23.560051
NSW,LANE COVE,CALTEX WOOLWORTHS,235-245 BURNS BAY RD,2066,02 94275479,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,151.151631,-33.816227
QLD,TOOWONG,CALTEX WOOLWORTHS,581 MILTON ROAD,4066,07 38707838,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,152.985854,-27.478537
NSW,ROZELLE,CALTEX WOOLWORTHS,121 VICTORIA RD CNR WELLINGTON ST,2039,02 95554894,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,151.168521,-33.862523
NSW,HAY SOUTH,CALTEX,429-431 MOAMA STREET,2711,02 69931617,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,2,Y,N,Y,144.837766,-34.520648
VIC,FOREST HILL,CALTEX SAFEWAY,484 CANTERBURY RD - BRENTFORD SQ,3131,03 98789408,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,145.183728,-37.836464
TAS,BELLERIVE,CALTEX WOOLWORTHS,86 CLARENCE STREET,7018,03 62442749,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,147.37802,-42.875289
QLD,ELANRA,CALTEX WOOLWORTHS,196 K P MCGRATH DRIVE,4221,07 55981982,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,153.461613,-28.122918
NSW,BELROSE,CALTEX WOOLWORTHS,157 FOREST WAY,2085,02 94517380,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,151.221453,-33.73275
QLD,VINCENT,CALTEX WOOLWORTHS,66-68 NATHAN ST CNR FULHAM RD,4814,07 47794415,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,146.761499,-19.287792
NSW,SOUTH WENTWORTHVILLE,CALTEX WOOLWORTHS,313 GREAT WESTERN HWY,2145,02 96319631,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,150.971976,-33.81627
NSW,WYOMING,CALTEX,465 PACIFIC HWY,2250,02 43233455,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,151.349894,-33.409203
NSW,BATEMANS BAY,CALTEX WOOLWORTHS,87-89 PRINCES HWY CNR HUGHES ST,2536,02 44728025,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,150.176387,-35.719343
