Name,LocationNo,Street,Town,State,Postcode,Phone,Unlead,PremiumUnlead,BPUltimate, E10, Diesel, Any_Autogas, Hours_24, Trailers, LPGBottle, Toilets, CarWash, CleanGo, SuperWash, Other, Pay, EFTPOS, GIFT_CARD, ATM, Restaurant, TruckStops, Express, BP_UltimateDiesel,Latitude,Longitude
BP Connect Woodcroft,2805,Corner Of Woodcroft Drive And Richmond Road,Woodcroft,NSW,2767,02 9831 8979,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,-33.74737231,150.8798418
BP Connect Woollahra,1029,39 Vernon St,Woollahra,NSW,2025,02 9369 2289,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.88997503,151.2473869
BP ConnectThe Tulla,1684,Cnr Centre Rd & Melbourne Dr,Melbourne Airport,VIC,3045,03 9310 4622,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.67447698,144.8456264
BP Coolongolook,6396,Pacific Highway,Coolongolook,NSW,2423,02 4997 7230,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,N,Y,Y,N,N,N,-32.21495219,152.32287
BP Coolum Beach,1584,54 Beach Rd,Coolum Beach,QLD,4573,07 5473 9099,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-26.53280064,153.090404
BP Coonalpyn,9056,1 Dukes Hwy,Coonalpyn,SA,5265,08 8571 1233,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,-35.6411267,139.8390531
BP Cooroy Supermart,346,28 Elm St,Cooroy,QLD,4563,07 5447 6375,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-26.41843657,152.9119111
BP Coraki,5639,104 Queen Elizabeth Drive,Coraki,NSW,2471,02 6683 2074,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,-28.98288699,153.2835825
BP Cornwall,4280,Cnr Cornwall St & Cleveland St,Greenslopes,QLD,4120,07 3397 5029,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-27.50270177,153.0458393
BP Corryong,5593,21 Towong Road,CORRYONG,VIC,3707,02 6076-1151,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-36.1931338,147.9092449
BP Coutts Crossing Store,1576,9 Armidale Rd,Grafton,NSW,2460,02 6649 3205,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,-29.82821534,152.8917087
BP Crafers,9125,3 Main St,Crafers,SA,5152,08 8339 1746,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,-34.99715515,138.7039292
BP Craigieburn,5414,72 Hanson Road,Craigieburn,VIC,3064,03 93081817,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.59234841,144.9373961
BP Crossroads,2216,Cnr Hume Hwy & Pine Ave,Casula,NSW,2170,02 9602 8394,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,-33.95520989,150.8958275
BP Crystal Brook,6334,Lot 78 Crystal Brook Road And Gladys Road,Lesmurdie,WA,6076,08 9291 6381,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,Y,-32.00550722,116.0408725
BP Crystal Brook Eyre Rd,6967,68 Eyre Road,Crystal Brook,SA,5523,08 8636 2222,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,N,-33.34980698,138.2057956
BP Cunnamulla,1427,10 Emma Street,Cunnamulla,QLD,4490,07 4655 1179,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,-28.0678387,145.6851503
BP Dalby,1429,Cnr Drayton & Pratten St,Dalby,QLD,4405,07 4662 2938,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-27.18048168,151.2603126
BP Dalrymple,1430,76 Pilkington St,Garbutt,QLD,4814,07 4779 2119,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-19.27423958,146.7669015
BP Dandenong,3940,Cnr Princes Highway & Potter St,Dandenong,VIC,3175,03 9792 3796,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.97824096,145.2070674
BP Dandenong Truckstop,5982,175-187 Greens Road,Dandenong,VIC,3175,03 9792 0664,Y,Y,Y,,Y,Y,N,,,,,,,,,,,,,Y,N,N,-38.01254487,145.2044928
BP Darling Street,9561,551 Darling St,Rozelle,NSW,2039,02 9555 8348,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,-33.85917133,151.1717203
BP Darwin City,4116,89 Smith St,Darwin,NT,800,08 8947 2330,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-12.4596206,130.8373391
BP Davies Road,5567,9 DAVIES ROAD,PADSTOW,NSW,2211,02 9774 4331,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,-33.94722903,151.0371434
BP Daylesford,3502,143 Vincent St,Daylesford,VIC,3460,03 5348 3804,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-37.3476835,144.1425081
BP Deception Bay,4160,555 Deception Bay Rd,Deception Bay,QLD,4508,07 3203 2423,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,-27.19434285,153.0268793
BP Del Park,7318,1 Del Park Rd,North Dandalup,WA,6207,08 9530 1229,Y,,Y,,Y,Y,,,,,,,,,,Y,,,,,n,,-32.52188783,115.970646
BP Deniliquin,348,Cnr Hardinge & Sloane Sts,Deniliquin,NSW,2710,03 5881 2411,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,-35.53248187,144.9524854
BP Denistone East,5748,295 Quarry Road,Ryde,NSW,2112,02 9807 1449,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.79580769,151.1029178
BP Denmark,6660,14 High St,Denmark,WA,6333,08 9848 2700,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-34.96186799,117.3561726
BP Depot - Warrnambool,3141,17 Albert Street,Warrnambool,VIC,3280,03 5562 2604,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,-38.3719161,142.4592123
BP Depot Gladstone,7286,69 Hanson Road,GLADSTONE,QLD,4680,07 4976 6500,Y,Y,N,,Y,,N,,N,,,,,,,,Y,,,,N,N,-23.84101805,151.2457822
BP Depot Oudenryn,1978,45 Boolcrrol Rd,Wee Waa,NSW,2388,02 6795 4076,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-30.2240762,149.4328009
BP Desert Palms,2478,203 Beira Rd,Laverton,WA,6440,08 9031 1210,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,-28.62568925,122.4069729
BP Dog Swamp,6234,Lot 12 Wanneroo Rd,Yokine,WA,6060,08 9444 6990,Y,N,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,-31.90900557,115.8448877
BP Donald,421,104 Wood St,Donald,VIC,3480,03 5497 1150,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,-36.37184967,142.9828329
BP Donald (VIC),5931,104 Woods Street,Donald,VIC,3840,03 5497 1150,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,N,N,N,N,N,N,-36.37185195,142.9828356
BP Dongara,6350,85 Brand Hwy,Dongara,WA,6525,08 9927 1077,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,-29.25197397,114.9440618
BP Donnybrook,6438,16 South West Hwy,Donnybrook,WA,6239,08 9731 1897,Y,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,-33.57881753,115.8279817
BP Dover,7063,1 Station Rd,Dover,TAS,7117,03 6298 1102,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,-43.31204174,147.0161342
BP Drayton,4691,36 - 38 Brisbane St,Drayton,QLD,4350,07 4630 1715,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,-27.60064592,151.9153636
BP Duaringa Truckstop,4334,Capricorn Hwy,Duaringa,QLD,4702,07 4935 7129,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,-23.71407177,149.6056427
BP Dublin,6966,Lot 7 Port Wakefield Rd,Dublin,SA,5501,08 8529 2400,Y,Y,Y,n,Y,Y,n,Y,Y,Y,n,n,n,,n,Y,Y,n,n,n,n,n,-34.45354286,138.353526
BP Dunsborough,5464,Cnr Naturaliste Tce And Dunn Bay Road,Dunsborough,WA,6281,08 9725 6500,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.61662195,115.1022713
BP Dural,831,582 Old Northern Rd,Dural,NSW,2158,02 9651 2321,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-33.69583874,151.0289364
BP Dysart,1659,Cnr Hannah Cres & Garnham Drive,DYSART,QLD,4745,07 4950 0462,n,n,Y,N,N,N,N,,N,,N,N,N,,,,,,,,N,n,-22.58872241,148.3423042
BP Eaglehawk,5454,11 Peg Leg Road,Eaglehawk,VIC,3556,03 5446 1982,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,-36.71779311,144.2513916
BP East,612,161 Tartleton St,East Devonport,TAS,7310,03 6427 8711,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-41.18514682,146.3721176
BP East Ballan Travelstop,6844,Bences Lane,Ballan,VIC,3342,03 5368 1899,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,-37.5886611,144.2516995
BP East Doncaster,3491,300 Blackburn Rd,Doncaster East,VIC,3108,03 9841 9355,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.78077841,145.1636577
BP East End,1289,46 Clarinda St,Parkes,NSW,2870,07 5438 1636,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.14236871,148.1845939
BP East Geelong,5445,369 Portarlington Road,Moolap,VIC,3221,03 52484977,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-38.16848269,144.425393
BP East Malvern,3916,101 Waverley Rd (Cnr Burke Rd),Malvern East,VIC,3145,03 9571 0972,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-37.87596305,145.0481825
BP East Prahran,82,549 High St,Prahran,VIC,3181,03 9510 5934,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,-37.85364763,145.0067737
BP East Toowoomba,1506,Cnr Bridge St & Mary St,Toowoomba,QLD,4350,07 4632 6790,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-27.55348733,151.9676362
BP Eastern Heights,1432,Robertson & Grange Rds,Eastern Heights,QLD,4305,07 3281 3044,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-27.62833318,152.7780488
BP Edgecliffe,7256,67 New South Head Road,EDGECLIFF,NSW,2027,02 9363 4553,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.87706018,151.2316437
BP Edinburgh Castle,4262,411 Gympie Rd,Kedron,QLD,4031,07 3359 1641,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,-27.40218391,153.0317672
BP Edithvale,3935,Cnr Station St & Lochiel Ave,Edithvale,VIC,3196,03 9772 3603,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-38.03418309,145.1064401
BP Edmonton,5498,167 Bruce Highway,Edmonton,QLD,4869,07 4055 4899,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,-17.01757756,145.7441363
BP Elanora,5750,Cnr Guineas Creek Road and Casuarina Drive,Elanora,QLD,4221,07 5533 9643,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,Y,-28.13762439,153.4403913
BP Elliott,7304,3 Lewis St,Elliot,NT,862,08 8969 2025,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,,N,Y,N,N,Y,N,N,N,-17.55381514,133.544238
BP Elmore,5455,1 Margaret Street,Elmore,VIC,3558,03 5432 6429,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,-36.49800255,144.6105199
BP Emerald,1434,Cnr Clermont & Ruby St,Emerald,QLD,4720,07 4982 1609,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-23.52133192,148.1600967
BP Empire Bay (DSS),7362,276 Empire Bay Drive,Empire Bay,NSW,2257,02 4369 8760,Y,Y,Y,,Y,Y,N,Y,Y,Y,Y,N,N,Y,,Y,,Y,,,,N,-33.50327555,151.3630913
BP Energy Fuel Laverton,3911,42-44 Little Boundary Rd,LAVERTON NORTH,VIC,3026,03 9314 0999,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,-37.81606118,144.8176381
BP Enfield,5586,184 Liverpool Road,Enfield,NSW,2136,02 9747 8177,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,-33.88702724,151.0979032
BP Engadine,837,963 Old Princes Hwy,Engadine,NSW,2233,02 9520 8640,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,-34.06454401,151.0167213
BP Epping,7333,31 Bridge St,Epping,NSW,2121,02 9869 1233,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,-33.77437874,151.0790659
BP Epsom,16,Cnr Midland Hwy & Taylor Sts,Epsom,VIC,3551,03 5448 4394,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,-36.7174548,144.3134003
BP Eromanga,4166,Webber Street,Eromanga,QLD,4480,07 4656 4881,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,-26.6683328,143.2669681
BP Erskinville,9509,Cnr Erskinville Rd & Union St,Erskinville,NSW,2043,02 9557 5427,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,-33.89896222,151.1825396
BP ETON VALE,341,13649 New England Hwy,Cambooya,QLD,4358,07 46961200,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,N,Y,Y,N,N,N,-27.71534116,151.9131576
BP Euroa,3052,29 Taracombe St,Euroa,VIC,3666,03 5795 3677,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,-36.75006241,145.5778112
BP Express Aitkenvale,1400,273 Ross River Rd,Aitkenvale,QLD,4814,07 4779 7855,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-19.29673571,146.7679376
BP Express Ashgrove,4215,109 Stewart Rd,Ashgrove,QLD,4060,07 3366 5449,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,-27.43918364,152.9901403
BP Express Aspley,1404,1316 Gympie Rd,Aspley,QLD,4034,07 3263 8131,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,-27.36529502,153.0165804
BP Express Beresfield,1231,2 John Renshaw Dr,Beresfield,NSW,2322,02 4964 4555,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,N,-32.81134879,151.6420513
BP Express Bexley,9489,610 Forest Rd,Bexley,NSW,2207,02 9587 9502,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.957447,151.1182974
BP Express Casula,810,Cnr Graeme Ave & Hume Hwy,Casula,NSW,2170,02 9601 1665,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.94065006,150.9122804
BP Express Chisholm,2909,3 Benham St,Chisholm,ACT,2905,02 6292 3791,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,-35.41295128,149.1279455
BP Express Condell Park,817,Cnr Lancelot & Edgar Sts,Condell Park,NSW,2200,02 9709 3363,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,-33.91588703,151.0134908
BP Express Croydon Park,1397,236 - 240 Georges River Rd,Croydon Park,NSW,2133,02 9799 2645,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.89640751,151.1052946
BP Express Dundas,830,Corner Of Quarry Road And Kissing Point Road,Dundas,NSW,2117,02 9638 7085,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,-33.79930294,151.054024
BP Express Eight Mile Plains,8094,Warrigal & Padstow Rds,Eight Mile Plains,QLD,4113,07 3341 3143,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,-27.57530785,153.0876916
BP Express Engadine,9508,1234 Old Princess Hwy,Engadine,NSW,2233,02 9520 9322,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-34.07477913,151.0111259
BP Express Frankston,157,298 Frankston - Dandenong Rd,Seaford,VIC,3199,03 9786 8411,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,-38.12706655,145.1362533
BP Express Glenquarie,2272,Cnr Harold St & Victoria Rd,Macquarie Fields,NSW,2564,02 9618 2685,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,-33.98479413,150.8933276
BP Express Golf Links Road,8567,1 Golf Links Road,Frankston,VIC,3199,03 9783 4446,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,-38.16414548,145.1373828
BP Express Goodna (closed until early 2012),8108,237 Brisbane Rd,Goodna,QLD,4300,07 3818 0511,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-27.60975512,152.9019146
BP Express Gymea,860,Corner Of Kingsway  And Gymea Bay Road,Gymea,NSW,2227,02 9524 5015,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-34.03261019,151.0855415
BP Express Hornsby,2226,Corner Of George Street And Burdett Street,Hornsby,NSW,2077,02 9477 3892,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,-33.70237983,151.0992948
BP Express Kingston,2217,77 Canberra Ave,Kingston,ACT,2604,02 6295 6021,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,-35.3275681,149.1566626
BP Express Lane Cove,2212,58 Epping Road,Lane Cove,NSW,2066,02 9427 1091,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.81118214,151.1642662
BP Express Magill Road,5952,257 Magill Rd,Trinity Gardens,SA,5068,08 8431 1066,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,-34.91442454,138.6408312
BP Express Marulan Northbound,2330,Hume Highway,Marulan,NSW,2579,02 48411822,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,-34.71874879,149.9979916
BP EXPRESS MARULAN SOUTHBOUND,2328,Hume Highway,Marulan,NSW,2579,02 4841 1877,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,-34.71874866,149.9979934
BP Express Merrylands,919,Corner Of Kenyons Road And Sherwood Road,Merrylands West,NSW,2160,02 9632 7912,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,-33.83716653,150.967989
BP Express Modbury,9132,931 North East Rd,Modbury,SA,5092,08 8396 3511,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,-34.8341249,138.6819699
BP Express Mona Vale,921,1721 Pittwater Rd,Mona Vale,NSW,2103,02 9979 5893,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.6804146,151.3024634
BP Express Mosman,926,175 Ourimbah Rd,Mosman,NSW,2088,02 9953 3760,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.82123848,151.2332218
BP Express Northwood,2199,7 - 9 Northwood Rd,Northwood,NSW,2066,02 9427 4692,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,-33.82446245,151.1726628
BP Express O'Halloran Hill,9009,131 South Rd,O'Halloran Hill,SA,5158,08 8381 2558,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,-35.01922914,138.567115
BP Express Peninsula,9540,Cnr Barrenjoey & Darley Rds,Mona Vale,NSW,2103,02 9999 4633,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.67653852,151.3082765
BP Express Penrith,945,Cnr Castlereagh Rd & Coreen Ave,Penrith,NSW,2750,02 4721 3400,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.74603449,150.7022601
BP Express Phillip,2222,166 Melrose Dr,Phillip,ACT,2606,02 6281 2633,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-35.35082484,149.0851407
BP Express Pymble,957,Cnr Bannockburn Rd & Pacific Hwy,Pymble,NSW,2073,02 9983 9873,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.74099342,151.1381254
BP Express Rose Bay,970,595 Old South Head Rd,Rose Bay,NSW,2029,02 9371 6613,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.86935866,151.2771703
BP Express Rydalmere,976,Cnr Victoria Rd & Clyde St,Rydalmere,NSW,2116,02 9684 4998,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,-33.81072661,151.0332853
BP Express St Lucia,4278,Cnr Brisbane St & Benson Sts,St Lucia,QLD,4067,07 3870 3805,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,-27.48775549,152.9930503
BP Express St Peters,2210,2 Princes Hwy,St Peters,NSW,2044,02 9557 2504,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.90982475,151.1809083
BP Express Toronto,2235,Corner Of Carey Street And Donnelly Avenue,Toronto,NSW,2283,02 4959 1397,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.01109542,151.5936206
BP Express Tower,1025,500 Willoughby Road,Willoughby,NSW,2068,02 9958 2194,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-33.81016291,151.1992721
BP Express Tuggerah,1002,100 Pacific Hwy,Tuggerah,NSW,2259,02 4352 1584,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,-33.30577869,151.4198121
BP Express Valentine,1010,855 Macquarie Dr,Valentine,NSW,2280,02 4946 8084,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.00800963,151.6425826
BP Express Warwick Farm,2233,Cnr Hume Hwy & Forbes St,Warwick Farm,NSW,2170,02 9601 2588,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.9139281,150.9311895
BP Express West Ryde,2241,1233 Victoria Rd,West Ryde,NSW,2114,02 9804 6504,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.80667575,151.0709583
BP Express Willoughby,1026,316 Penhurst St,Willoughby,NSW,2068,02 9417 6713,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.7937747,151.1958682
BP Express Wyoming,2255,481 Pacific Hwy,Wyoming,NSW,2250,02 4329 7562,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,-33.40777726,151.3508847
BP Fairfield,6945,Cnr Sackville and Hamilton Streets,Fairfield,NSW,2165,02 9728 6717,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,,N,Y,Y,N,N,N,N,N,-33.87292389,150.9454742
BP Fairy Meadow,6037,224 Princess Highway,Fairy meadows,NSW,2519,02 4227 4944,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,n,n,-34.40343839,150.8916663
BP Fannie Bay,9301,88 Ross Smith Ave,Fannie Bay,NT,820,08 89817330,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,-12.42478328,130.8389434
BP Fawkner,52,1210 Sydney Rd,Fawkner,VIC,3060,03 9359 4588,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,-37.70687333,144.9614
