id,inst_name,cmps_id,cmps_name,state_id,l_addr_1,l_addr_2,l_pcode,state,cmps_lvl,systemic,affiliation,long,lat,mceetya_code,region_name,prim,sec,ung,fte,aria_code,arianame
16044,Burgmann Anglican School,16044,Burgmann Anglican School,,Cnr The Valley Avenue and Gungahlin Drive,GUNGAHLIN,2912,ACT,Combined,Non-Systemic,Anglican,149.123672,-35.188529,1.2,Metropolitan Zone Major urban Statistical Districts,411,478.4,,889.4,0,Major Cities of Australia
16302,The Galilee School,16302,The Galilee School,,Kambah Pool Road,KAMBAH,2902,ACT,Combined,Non-Systemic,Other,149.035968,-35.380778,1.2,Metropolitan Zone Major urban Statistical Districts,,13.3,,13.3,0,Major Cities of Australia
16583,Farrer Primary  School,16583,Farrer Primary  School,FRRP,Lambrigg Street,Farrer,2607,ACT,Primary,,,149.107114,-35.378739,1.2,Metropolitan Zone Major urban Statistical Districts,278,,,278,0,Major Cities of Australia
16585,Cranleigh School,16585,Cranleigh School,CRNS,Starke Street,Holt,2615,ACT,Special,,,149.02911,-35.224913,1.2,Metropolitan Zone Major urban Statistical Districts,42,,,42,0,Major Cities of Australia
17130,Good Shepherd Primary School,17130,Good Shepherd Primary School,,Burdekin Avenue,AMAROO,2914,ACT,Primary,Systemic,"Catholic, Roman",149.123922,-35.166843,1.2,Metropolitan Zone Major urban Statistical Districts,589,,,589,0,Major Cities of Australia
17215,Blue Gum Community School,17215,Blue Gum Community School,,114 Maitland Street,HACKETT,2602,ACT,Combined,Non-Systemic,Non-Denominational,149.15938,-35.246571,1.2,Metropolitan Zone Major urban Statistical Districts,59,14,,73,0,Major Cities of Australia
17809,Amaroo School,17809,Amaroo School,AMRS,Katherine Avenue,Amaroo,2914,ACT,Combined,,,149.125588,-35.16392,1.2,Metropolitan Zone Major urban Statistical Districts,767,348,,1115,0,Major Cities of Australia
22837,Islamic School of Canberra,22837,Islamic School of Canberra,,49 Phillip Avenue,WATSON,2602,ACT,Primary,Non-Systemic,Moslem,149.15037,-35.240588,1.2,Metropolitan Zone Major urban Statistical Districts,85,,,85,0,Major Cities of Australia
28128,Harrison School,28128,Harrison School,HARS,Nullabor Avenue,Harrison,2914,ACT,Primary,,,149.1516423,-35.1975306,1.2,Metropolitan Zone Major urban Statistical Districts,234,,,234,0,Major Cities of Australia
2060,Canberra Grammar School,77000,Canberra Grammar School (Northside Infants),,Blamey Crescent,CAMPBELL,2612,ACT,Combined,Non-Systemic,Anglican,149.147091,-35.285316,1.2,Metropolitan Zone Major urban Statistical Districts,75,,,75,0,Major Cities of Australia
2061,Canberra Girls' Grammar School,77001,Canberra Girls' Grammar Junior School,,Grey Street,DEAKIN,2600,ACT,Combined,Non-Systemic,Anglican,149.110759,-35.312126,1.2,Metropolitan Zone Major urban Statistical Districts,450,,,450,0,Major Cities of Australia
13363,Canberra Montessori School,77293,Red Hill Campus,,28 Astrolabe Street,RED HILL,2603,ACT,Primary,Non-Systemic,Montessori School,149.133153,-35.339388,1.2,Metropolitan Zone Major urban Statistical Districts,9.5,,,9.5,0,Major Cities of Australia
15941,Mackillop Catholic College,77308,Wanniassa Campus,,Mackinnon Street,WANNIASSA,2903,ACT,Secondary,Systemic,"Catholic, Roman",149.090983,-35.405251,1.2,Metropolitan Zone Major urban Statistical Districts,,884.4,,884.4,0,Major Cities of Australia
2060,Canberra Grammar School,77443,Canberra Grammar Junior School,,Alexander Street,RED HILL,2603,ACT,Combined,Non-Systemic,Anglican,149.124691,-35.332344,1.2,Metropolitan Zone Major urban Statistical Districts,470,,,470,0,Major Cities of Australia
