Name, LocationNo, Street, Town, State, Postcode, Phone, Unlead, PremiumUnlead, BPUltimate, E10, Diesel, Any_Autogas, Hours_24, Trailers, LPGBottle, Toilets, CarWash, CleanGo, SuperWash, Other, Pay, EFTPOS, GIFT_CARD, ATM, Restaurant, TruckStops, Express, BP_UltimateDiesel,
BP Baulkham Hills West,768,134 Seven Hills Rd,Baulkham Hills,NSW,2153,02 9624 7583,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Beachmere,7293,870-872 Beachmere Rd,Beachmere,QLD,4510,07 5496 2900,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,,N,Y,Y,Y,N,N,N,Y,
BP Beckhom Roadhouse,2565,Newell Hwy,Beckom,NSW,2665,02 6978 2329,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,
BP Bedford,1244,166 Bedford Road,Andergrove,QLD,4740,07 4955 3711,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Beenleigh,7300,25-27 Logan River Road,Beenleigh,QLD,4108,07 3287 5551,Y,Y,Y,n,Y,N,N,N,n,Y,,,,,,Y,N,N,,,N,N,
BP Beldon,6533,Cnr C1314Ocean Reef Rd & Eddystone Ave,Beldon,WA,6027,08 9307 7887,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Belfield,5656,53-57 Punchbowl road,Punchbowl,NSW,2196,02 9642 1353,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Bellata RDD,7192,Newell Highway,BELLATA,NSW,2397,02 6793 7528,N,Y,Y,Y,Y,N,,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,N,N,N,
BP Bellbird,8081,Nambour Connection Rd,Kulangoor,QLD,4560,07 5476 0011,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Bellevue,6209,59 Great Eastern Hwy,Bellevue,WA,6056,08 9250 1427,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,
BP Belmont,183,77A Roslyn Rd,Belmont,VIC,3216,03 5244 2534,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Benowa,4194,Ashmore Road,Benowa,QLD,4217,07 5539 5060,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Bentleigh,5994,58 Patterson Rd,Bentleigh,VIC,3204,03 9557 5326,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,,N,Y,Y,Y,N,N,N,N,
BP Bentley,6344,1156 Albany Hwy,Bentley,WA,6102,08 9458 7049,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,
BP Bermagui,1067,8 Wallaga Lake Rd,Bermagui,NSW,2546,02 6493 4174,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Berri,9102,1 Vaughan Tce,Berri,SA,5343,08 8582 1740,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Berwick,5846,276 Clyde Road,Berwick,VIC,3806,03 9702 2611,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Big Pine,3200,Cnr Nepean Hwy & Beach Street,Frankston,VIC,3199,03 9783 1031,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Big Pineapple,4319,Pacific Hwy,West Ballina,NSW,2478,02 6686 2878,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,
BP Biggera Waters,1540,241 Brisbane Rd,Biggera Waters,QLD,4216,07 5537 8869,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Biloela,1787,3 Thangoul Rd,Biloela,QLD,4715,07 4992 1370,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,
BP Black Mountain,8467,3174 New England Hwy,Black Mountain,NSW,2365,02 6775 0166,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,
BP Blackall DCA,8598,8-10 Shamrock Street,Blackall,QLD,4472,07 4657 4455,Y,Y,N,,Y,Y,,,,,,,,,,,,,,,N,N,
BP Blackall DPT,6840,8 - 10 Shamrock St,Blackall,QLD,4472,07 4657 4455,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,N,
BP Blackall Motel,4781,153 Shamrock St,Blackall,QLD,4472,07 4657 4611,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Blackall Roadhouse,5057,10 Shamrock Street,Blackall,QLD,4472,07 4657 4453,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,,Y,,Y,N,N,N,N,N,
BP BLACKBURN,7350,233-243 WHITEHORSE ROAD,BLACKBURN,VIC,7350,03 9877 9599,Y,Y,Y,,Y,N,N,Y,Y,Y,N,N,N,,,Y,N,Y,,,N,N,
BP Blackwater,8050,12 Mckenzie St,Blackwater,QLD,4717,07 4982 6470,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Blair Athol,5058,402 - 404 Main North Rd,Blair Athol,SA,5084,08 8262 8000,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,
BP Blakeview,5213,236 Main North Rd,Smithfield,SA,5114,08 8254 6078,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Boambee,7319,Cnr Pacific Hwy and Sawtell Rd,Boambee,NSW,2450,02 6653 1180,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,,,Y,,Y,Y,,N,N,
BP Bohle,7182,585 Ingham Road,Townsville,QLD,4818,07 4774 8300,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,N,
BP Bolam,6751,25 - 27 Bolam St,Garbutt,QLD,4814,07 4779 1077,Y,n,Y,Y,Y,n,n,n,Y,Y,n,n,n,,n,Y,Y,n,n,n,n,n,
BP Bonnyrigg,8611,Cnr Cowpasture & Nth Liverpool Rds,Bonnyrigg,NSW,2177,02 9610 0400,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Boonah,4326,43 High Street,Boonah,QLD,4310,07 5463 1566,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Border,3229,Corner Of Ebden Street And Wodonga Place,South Albury,NSW,2640,02 6021 4325,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Bordertown Truck & Bus,1272,Dukes Hwy,Bordertown,SA,5268,08 8752 1997,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,
BP Botany Bay,787,1579 Botany Rd,Botany,NSW,2019,02 9316 8148,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Bougainvillia,1960,141 Cooroy - Noosa Rd,Tewantin,QLD,4565,07 5449 0566,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Boulder Trading Post,2508,70 Piesse St,Boulder,WA,6432,08 9093 1167,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Boulevarde,4220,Cnr of Donald St & Hornibrook Esplanade,Woody Point,QLD,4019,07 3284 5996,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Bowen Hills,7262,230 Abbotsford Road,BOWEN HILLS,QLD,4006,07 3252 3769,Y,Y,Y,,Y,Y,Y,,,,Y,,,Y,,,Y,,,,N,N,
BP Bowral,2171,202 Bong Bong St,Bowral,NSW,2576,02 4861 1608,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Boyne Island,1530,35 Boyne Island Road,Boyne Island,QLD,4680,07 4973 7568,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Boyup Brook,1871,Cnr Abel St & Jayes St,Boyup Brook,WA,6244,08 9765 1123,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Brackenridge,7299,508 Telegraph Road and Denham Street,Brackenridge,QLD,4017,07 3269 9900,Y,Y,Y,,Y,Y,,,,,,,,,,,,,,N,N,,
BP Braddon,2239,22 Lonsdale St,Braddon,ACT,2601,02 6248 7806,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,
BP Breakwater,3755,2 - 4 Fellmongers Rd,Breakwater,VIC,3219,03 5221 8922,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
BP Bremer Bay,6681,5 Gnombup Terrace,Bremer Bay,WA,6338,n/a,y,n,y,n,y,y,n,n,n,y,n,n,n,,n,y,n,n,n,n,n,n,
BP Bridge Garage,8071,Cunningham Hwy,GOONDIWINDI,QLD,4390,07 4671 1377,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,
BP Bridgetown Roadhouse,5770,64 Hampton Street,Bridgetown,WA,6255,08 9725 6500,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,y,N,N,N,N,N,
BP Brighton,7091,40 Midland Highway,Brighton,TAS,7030,03 6268 1466,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Broadwater,4975,171 Pacific Hwy,Broadwater,NSW,2472,02 6682 8253,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Brooker,639,200 Brooker Hwy,Hobart,TAS,7000,03 6234 3549,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Broome Central,6075,Cnr Frederick & Coghlan Sts,Broome,WA,6725,08 9193 5517,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,
BP Bruce Rock,6715,1 Johnson Street,Bruce Rock,WA,6418,08 9061 1178,y,n,n,n,y,n,y,n,n,n,n,n,n,,n,y,n,n,n,n,n,n,
BP Brunkerville,7329,1549 Leffatt Drive,Brunkerville,NSW,2323,(02) 4938 0149,Y,Y,,,Y,,,,,,,,,,,,,,,,,,
BP Brunswick,5571,142 Dawson Street,Brunswick West,VIC,3055,03 9380 2267,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Brunswick Heads,1575,50 Tweed St,Brunswick Heads,NSW,2483,02 6685 1268,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Bruthen,4500,70 Main St,Bruthen,VIC,3885,03 5157 5262,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,
BP Buccaneer,6659,7 Clementson St,Buccaneer,WA,6725,08 9193 6347,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Bull Creek,6521,Cnr Parry Ave & Wheatley Dr,Bull Creek,WA,6149,08 9332 5843,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,
BP Bulla,5539,84 Bulla Road,Bulla,VIC,3428,03 9307 1372,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Bunbury DCA Shop Front,6669,24 Wetherly Drive,Picton,WA,6229,08 9725 6500,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,
BP Bundaberg Depot,1347,33 Princes St,Bundaberg,QLD,4670,07 4152 5277,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,
BP Bundaberg Depot & Dca,4129,33 Princes St,Bundaberg,QLD,4670,07 4152 5277,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,
BP Bundanoon,2578,61 Railway Pde,BUNDANOON,NSW,2578,02 4883 6118,,,,,,,N,,,,,,,,,,,,,,N,N,
BP Bundanoon,4749,61 Railway Pde,BUNDANOON,NSW,2578,02 4883 6118,,,,,,,,,,,,,,,,,,,,,,,
BP Bundoora,7352,1050 Plenty Rd,Bundoora,VIC,3083,03 9466 9446,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,,,,,N,N,N,N,
BP Bungama,9245,Princes Highway,Bungama,SA,5540,08 8632 1108,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,
BP Bungendore,2611,24 Molonglo St,Bungendore,NSW,2621,02 6238 1307,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,
BP BURMAH DURAL,35,271 New Line Rd,DURAL,NSW,2158,02 9651 5091,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,N,
BP Burnie Terminal,7154,4 River Road,Wivenhoe,TAS,7320,03 6431 4744,N,N,N,N,Y,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,
BP Buronga,3156,141 Sturt Highway,Gol Gol,NSW,2738,03 5022 1766,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Burrendah Self Serve,1812,Cnr Burrendah & Pinetree Gully Rd,Willetton,WA,6155,08 9332 1666,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,
BP Burrum Heads,5859,1 Ivor Drive,BURRUM HEADS,QLD,4659,,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Busselton,1876,24 Albert St,Busselton,WA,6280,08 9752 1509,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Cabramatta (Formerly BP Railway),9495,208 Cabramatta Rd,Cabramatta,NSW,2166,02 9724 9182,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,
BP Caldermeade,7305,4385 South Gippsland Highway,Caldermeade,VIC,3984,03 5997 5030,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,N,
BP Caloundra,1413,4 Latcham drive,CALOUNDRA,QLD,4551,07 5437 2264,N,,Y,Y,,,,,,,,,,,,,,,,,,,
BP Cambridge,7045,967 Cambridge Rd,Cambridge,TAS,7170,03 6248 5451,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Campbellfield,2410,1489 Sydney Rd,Campbellfield,VIC,3061,03 9357 4288,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,,N,Y,Y,Y,N,,,,
BP Camperdown,3667,4 Thornton Street,Camperdown,VIC,3260,03 5593 1551,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,N,,N,Y,Y,N,N,N,N,N,
BP Campsie,2247,65 Bexley Rd,Campsie,NSW,2194,02 9787 1801,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Cannington,6204,Cnr Albany Hwy & Short St,Cannington,WA,6107,08 9458 1098,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,
BP Cannon Hill,4201,Corner Of Creek Road And Wynnum Road,Cannon Hill,QLD,4170,07 3899 0101,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,
BP Capalaba,4208,Corner Of Old Cleveland Road And Dollery Road,Capalaba,QLD,4157,07 3390 1374,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,
BP Capalaba East,7078,210 Old Cleveland Road,CAPALABA,QLD,4157,07 3823 3325,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,
BP Capalaba South,2520,Cnr Redland Bay Rd & Neumann Rd,Capalaba,QLD,4157,07 3390 3449,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Cardiff,804,321 Main Rd (Cnr Sturt St),Cardiff,NSW,2285,02 4954 0063,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Cardiff Pennant St,7193,Cnr Pennant St & Belmore Pl,CARDIFF,NSW,2285,,Y,,Y,,Y,Y,N,,,,,,,,,,Y,,,,N,N,
BP Carlsruhe,5452,Calder Highway,Carlsruhe,VIC,3442,03 5422 1848,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Carmila Highway,7249,1 Music Street,CARMILA,QLD,4739,07 4950 2196,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,N,N,N,
BP Carrington,2252,183 The Horsley Dr,Fairfield,NSW,2165,02 9724 3856,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Carrs Park,780,294 Princes Hwy,Blakehurst,NSW,2221,02 9546 5585,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Carrum Downs,14,1115 Dandenong Rd,Carrum Downs,VIC,3201,03 9782 1505,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,
BP Castle Cove,809,327 Eastern Valley Way,Castle Cove,NSW,2069,02 9417 5111,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Casuarina Cityway,9348,Cnr Trowe Rd & Angelo St,Casuarina,NT,810,08 8927 8000,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Cavendish Road,1415,Cnr Cavendish & Holland Rds,Holland Park,QLD,4121,07 3397 8333,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,
BP Central Brown Plains,5435,111 - 121 Browns Plains Road,Browns Plains,QLD,4118,07 3809 3211,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,Y,
BP Central Cairns,2271,Corner Of Martyn Street And Florence Street,Parramatta Park,QLD,4870,07 4051 1350,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Centre,2268,Cnr Kendall Rd & Yanko Rd,West Pymble,NSW,2073,02 9498 5160,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,
BP Centrepoint Rochedale,5731,670 Miles Platting road,Rochedale,QLD,4123,07 3341 1207,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Charlestown,6947,273 Charlestown Road,Charlestown,NSW,2290,02 4946 2603,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,N,
BP Charlton,261,Lot 1 Warrego Highway,Charlton,QLD,4350,07 4630 4115,Y,Y,Y,N,Y,y,N,N,n,Y,N,N,N,,N,Y,n,N,n,n,n,n,
BP Charlton Roadhouse,5521,91-93 High Street,Charlton,VIC,3525,03 5491 1772,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Charmhaven,7185,210 Pacific Hwy,Charmhaven,NSW,2263,02 43932666,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,,N,N,Y,Y,N,N,N,N,
BP Charters Towers,7200,11 Hackett terrace,Richmond Hill,QLD,4820,07 4787 2100,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,
BP Chinchilla,8065,Warrego Hwy,Chinchilla,QLD,4413,07 4662 7137,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Chinderah,1773,Chinderah Bay Dr,Chinderah,NSW,2487,02 6674 1466,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,N,N,
BP Chipping Norton,7202,7-11 Newbridge Road,CHIPPING NORTON,NSW,7202,02 9601 3840,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,N,N,N,N,
BP Chirnside Park,3358,Cnr Maroondah Hwy & Old Melbourne Road,Chirnside Park,VIC,3116,03 9727 1855,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Churchill,5420,272 Warwick Rd,Churchill,QLD,4305,07 3281 4502,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP City Entrance Lismore,4065,2 Leycester St,Lismore,NSW,2480,02 6621 5786,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP City Gates,4228,324 Nebo Rd,Mackay,QLD,4740,07 4952 1703,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Clare,6968,323 Main North Road,Clare,SA,5453,08 8842 2991,Y,Y,Y,n,Y,Y,n,N,Y,Y,n,n,n,,n,Y,Y,N,n,N,n,n,
BP Clayton,5423,1358 Centre Road,Clayton South,VIC,3169,03 9548 7200,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Clayton South,6845,725 Heatherton Road,Clayton South,VIC,3169,03 9547 7733,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,
BP Cleveland,3155,1 - 3 Gordon St,Cleveland,QLD,4163,07 3286 1148,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
BP Cloncurry Roadhouse,4676,5-9 Ramsay Street,CLONCURRY,QLD,4824,07 4742 2407,Y,Y,,,Y,Y,N,N,Y,Y,,,,,,Y,N,Y,Y,,,N,
BP Clontarf,5773,271 MacDonnell Road,CLONTARF,QLD,4019,07 3283 5662,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Clybucca Truckstop,2555,Pacific Hwy,Clybucca,NSW,2440,02 6565 0125,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,N,
BP Clydebank,1149,Fitzroy & Cobra Sts,Dubbo,NSW,2830,02 6884 8545,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Cocklebiddy,6320,Eyre Hwy,Cocklebiddy,WA,6443,08 9039 3462,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Coffs Harbour,1124,136 Pacific Highway,Coffs Harbour,NSW,2450,02 6651 3877,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Colac,186,5 Murray St,Colac,VIC,3250,03 5232 1245,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,
BP Colac West Dca,3921,340 Princes Hwy,Colac West,VIC,3250,03 5231 2036,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Colinton,3153,Dagular Hwy,Colinton,QLD,4306,07 5423 5180,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,
BP College View,4148,Cnr Villis Rd & Warrego Hwy,Gatton,QLD,4343,07 5466 5218,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Collins Road,6508,Cnr Collins Road & Willeri Dr,Willetton,WA,6155,08 9354 2622,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
BP Colonial,5969,232 St Bernards Rd,HECTORVILLE,SA,5073,08 83363375,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,,N,Y,Y,N,N,N,N,Y,
BP Coly RH (Coleambally),5954,12 Kingfisher Avenue,Coleambally,NSW,2707,02 6954 4010,Y,Y,n,n,Y,n,n,n,Y,Y,n,n,n,,n,Y,n,n,Y,n,n,n,
BP Commercial Road,1421,Corner Of Commercial Road And Stratton Street,Newstead,QLD,4006,07 3252 4131,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Condamine,5724,Lot 9 Wambo Street,Condamine,QLD,4416,07 4627 7106,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,
BP Condobolin,5642,Corner Of Molong Street And Denison Street,Condobolin,NSW,2877,02 6895 2221,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,y,N,N,N,N,N,
BP CONINGSBY,7281,Bruce Highway Coningsby,MACKAY,QLD,4740,07 4959 8588,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,N,,N,Y,Y,Y,Y,N,N,N,
BP Connect Albany Forest,1979,Old Northern Rd & Albany Forest Dr,Albany Creek,QLD,4035,07 3264 4470,N,N,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,
BP Connect Artarmon,2249,422 Pacific Hwy,Artarmon,NSW,2064,02 9418 7396,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
BP Connect Ascot,2244,Cnr Great Eastern Hwy & Resolution Drive,Belmont,WA,6104,08 9277 4758,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,
BP Connect Ashfield,811,580 - 586 Parramatta Rd,Croydon,NSW,2132,02 9716 4299,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,
BP Connect Balgowlah,2245,485 Sydney Rd,Balgowlah,NSW,2093,02 9907 9886,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,
