State,Suburb,Brand,Address,Postcode,Phone,E10,ULP,PULP,VX98,LPG,Diesel,Biodiesel,Vortex Diesel,Eftpos,Workshop,OpenAllHours,Carwash,Disabled Toilet,ATM,BBQ Gas,Truckstop,Starcash,E-FLEX,VX95,Longitude,Latitude
QLD,GOODNA,WOOLWORTHS CALTEX,REDBANK PLAINS RD CNR EAGLE ST,4300,07 34378853,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,152.8850420,-27.6280390
NSW,GOULBURN,WOOLWORTHS CALTEX,12 VERNER ST,2580,02 48225509,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,149.7185410,-34.7573930
NSW,GRAFTON,WOOLWORTHS CALTEX,75-77 FITZROY ST,2460,02 66427461,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.9347860,-29.6922350
NSW,EAST MAITLAND,WOOLWORTHS CALTEX,15-17 GREEN HILLS SHOP CTR MOLLY MO,2323,02 49338270,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.5927720,-32.7618060
VIC,DIAMOND CREEK,SAFEWAY CALTEX,307 DIAMOND CREEK RD,3090,03 94359361,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,145.1245790,-37.6783110
ACT,GUNGAHLIN,WOOLWORTHS CALTEX,18 GUNDAROO DRIVE,2912,02 62556032,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,149.1259910,-35.1838190
NSW,GUNNEDAH,WOOLWORTHS CALTEX,18-22 TEMPEST STREET,2380,02 67427416,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.2483580,-30.9765210
QLD,GYMPIE,WOOLWORTHS CALTEX,14 WICKHAM STREET,4000,07 54811523,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.6572640,-26.1916870
SA,HACKNEY,WOOLWORTHS CALTEX,15 HACKNEY RD,5069,08 83639732,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,138.6148430,-34.9182470
VIC,HAMILTON,SAFEWAY CALTEX,93 FRENCH ST,3300,03 55719975,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,142.0260600,-37.7443700
VIC,HAMPTON PARK,SAFEWAY CALTEX,70 HALLAM ROAD,3976,03 97998734,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.2676240,-38.0347190
QLD,HERMIT PARK,WOOLWORTHS CALTEX,124 CHARTERS TOWERS RD,4812,07 47725767,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,146.8003410,-19.2774210
WA,HILLARYS,WOOLWORTHS CALTEX,470 MARMION AVENUE,6025,08 94017920,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,115.7453240,-31.7965670
VIC,HOPPERS CROSSING,SAFEWAY CALTEX,50 OLD GEELONG RD CNR ROSE AVE,3029,03 97483593,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,144.7042230,-37.8806910
VIC,HORSHAM,SAFEWAY CALTEX,111 WILSON ST,3400,03 53810657,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,142.1951830,-36.7167290
VIC,HUNTINGDALE,SAFEWAY CALTEX,1337 NORTH RD,3166,03 95628654,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,Yes,145.1096130,-37.9121480
TAS,HUONVILLE,WOOLWORTHS CALTEX,45 MAIN RD,7109,03 62641806,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,147.0487550,-43.0301420
QLD,JIMBOOMBA,WOOLWORTHS CALTEX,1 JOHANNA ST,4280,07 55469165,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,153.0242460,-27.8309940
SA,KADINA,WOOLWORTHS CALTEX,21 FRANCIS ST,5554,08 88214574,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,137.7155230,-33.9649690
WA,KALGOORLIE,WOOLWORTHS CALTEX,104 BROOKMAN ST,6430,08 90214749,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,121.4692900,-30.7484300
VIC,KANGAROO FLAT,SAFEWAY CALTEX,267-283 HIGH STREET,3555,03 54479352,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,144.2638000,-36.7699770
VIC,KARINGAL,SAFEWAY CALTEX,CRANBOURNE RD CNR KARINGAL DRIVE,3199,03 97755140,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.1623420,-38.1541700
NT,KATHERINE,WOOLWORTHS CALTEX,LOT 59 FIRST ST CNR LINSAY ST,0850,08 89711759,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,132.2661690,-14.4654020
NSW,KELLYVILLE,WOOLWORTHS CALTEX,WINDSOR RD CNR MERRIVILLE RD,2155,02 88245185,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,150.9279630,-33.6995770
NSW,KEMPSEY,WOOLWORTHS CALTEX,LOT 32 SMITH STREET,2400,02 65621624,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.8420020,-31.0794560
QLD,KEPERRA,WOOLWORTHS CALTEX,577 SETTLEMENT ROAD,4054,07 38514857,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.9490980,-27.4171190
VIC,KEYSBOROUGH,SAFEWAY CALTEX,747 SPRINGVALE ROAD,3173,03 97015109,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,145.1454710,-37.9865270
VIC,KILSYTH,SAFEWAY CALTEX,CNR MT DANDENONG & MOUNTAIN VIEW RD,3137,03 97251190,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,145.3111040,-37.8025980
QLD,KINGAROY,WOOLWORTHS CALTEX,91 YOUNGMAN STREET,4610,07 41622911,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.8359520,-26.5413390
TAS,KINGS MEADOWS,WOOLWORTHS CALTEX,111 HOBART ST,7249,03 63436713,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,147.1593370,-41.4654430
TAS,KINGSTON,WOOLWORTHS CALTEX,37 MARANOA RD,7050,03 62291807,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,147.3048090,-42.9792830
QLD,KINGSTON,WOOLWORTHS CALTEX,503 KINGSTON RD,4114,07 32083584,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,153.1181800,-27.6618670
NSW,KINGSWOOD,WOOLWORTHS CALTEX,66 PARKER ST,2747,02 47211505,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,150.7127290,-33.7542710
WA,KWINANA,WOOLWORTHS CALTEX,LOT 14 CHISHAM AVE,6966,08 94197456,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,115.8179230,-32.2439700
VIC,LAKES ENTRANCE,SAFEWAY CALTEX,371 THE ESPLANADE,3909,03 51555194,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,147.9876630,-37.8805840
NSW,LAVINGTON,SAFEWAY CALTEX,370 GRIFFITH RD,2641,02 60408987,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,146.9371410,-36.0480800
NSW,LEETON,WOOLWORTHS CALTEX,PALM AVE CNR WARNOON AVE,2705,02 69538321,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,146.3992800,-34.5513960
TAS,LEGANA,WOOLWORTHS CALTEX,TAMAR HWY CNR FRESHWATER POINT RD,7277,03 63302160,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,147.0423190,-41.3638730
VIC,LEONGATHA,SAFEWAY CALTEX,20 ANDERSON ST,3953,03 56624583,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.9452110,-38.4740160
VIC,LILYDALE,SAFEWAY CALTEX,31 HUTCHINSON ST,3140,03 97352794,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.3476580,-37.7593000
NSW,LIVERPOOL NORTH,WOOLWORTHS CALTEX,67 ORANGE GROVE RD,2170,02 98240637,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,150.9185330,-33.9082620
QLD,MACGREGOR,WOOLWORTHS CALTEX,KESSELS RD CNR SPRINGFIELD ST,4109,07 33436591,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,153.0743310,-27.5623330
WA,MADDINGTON,WOOLWORTHS CALTEX,77 ATTFIELD ST,6109,08 94936702,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,115.9811330,-32.0531000
WA,MADDINGTON WEST,WOOLWORTHS CALTEX,207 BURSLEM DR,6109,08 94520354,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,115.9769540,-32.0495230
WA,MADELEY,WOOLWORTHS CALTEX,168 WANNEROO RD,6065,08 94093486,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,115.8209350,-31.8191640
WA,MANDURAH,WOOLWORTHS CALTEX,LOT 207 FREMANTLE RD CNR MAGENTA TC,6210,08 95817029,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,115.7409290,-32.5098620
QLD,MANGO HILL,WOOLWORTHS CALTEX,ANZAC AVE CNR JOSEY RD,4509,07 32041971,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,153.0365790,-27.2243630
QLD,MANUNDA,WOOLWORTHS CALTEX,33 ALFRED ST,4870,07 40531817,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.7423760,-16.9282220
NSW,MARAYONG,WOOLWORTHS CALTEX,VARDYS RD CNR TURBO RD,2148,02 96210013,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,150.9043050,-33.7453240
QLD,MARGATE,WOOLWORTHS CALTEX,9-11 OXLEY ST CNR BAYNES ST,4019,07 32832941,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,153.1091080,-27.2443850
SA,MARION,WOOLWORTHS CALTEX,734 MARION RD,5043,08 83744728,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,138.5577070,-35.0040270
NSW,MARSFIELD,WOOLWORTHS CALTEX,EPPING RD CNR BALACLAVA RD,2122,02 98788390,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.1073850,-33.7783930
VIC,MARYBOROUGH,SAFEWAY CALTEX,204-208 HIGH STREET,3465,03 54613870,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,143.7391510,-37.0459280
QLD,MARYBOROUGH,WOOLWORTHS CALTEX,110 ADELAIDE STREET,4650,07 41216135,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.6996010,-25.5408570
ACT,MAWSON,WOOLWORTHS CALTEX,15 MAWSON DRIVE,2607,02 62902088,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,149.1011780,-35.3622880
VIC,MELTON,SAFEWAY CALTEX,HIGH ST CNR COBURNS RD,3337,03 97470482,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,144.5675890,-37.6850740
NSW,MENAI,WOOLWORTHS CALTEX,ALLISON CR CNR OLD MENAI RD,2234,02 95414624,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.0132940,-34.0158330
VIC,MILDURA,SAFEWAY CALTEX,LANGTREE AVE,3500,03 50236868,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,142.1576640,-34.1860430
NSW,MIRANDA,WOOLWORTHS CALTEX,PORT HACKING RD CNR THE KINGSWAY,2228,02 95402197,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,151.1125410,-34.0349590
WA,MIRRABOOKA,WOOLWORTHS CALTEX,53 YIRRAGAN DRIVE,6061,08 92072852,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,115.8612690,-31.8734830
SA,MITCHAM,WOOLWORTHS CALTEX,119 BELAIR RD,5062,08 83577561,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,No,No,Yes,N,No,No,Yes,138.6057760,-35.0005530
QLD,MITCHELTON,WOOLWORTHS CALTEX,550 SAMFORD RD,4053,07 38559075,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,152.9778870,-27.4153660
VIC,MOE,SAFEWAY CALTEX,37 KIRK ST,3825,03 51273500,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,146.2634780,-38.1750080
NSW,MOOREBANK,WOOLWORTHS CALTEX,1 DREDGE ST CNR STOCKTON AVE,2170,02 98228255,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.9488550,-33.9313390
NSW,MOREE,WOOLWORTHS CALTEX,215 BALO ST,2400,02 67523149,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,No,149.8415490,-29.4670640
VIC,MORNINGTON,SAFEWAY CALTEX,321 MAIN ST,3931,03 59735480,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.0429800,-38.2267050
VIC,MORNINGTON EAST,SAFEWAY CALTEX,CNR BENTONS & DUNNS RDS,3931,03 59735492,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.0459800,-38.2462660
NSW,MOUNT ANNAN,WOOLWORTHS CALTEX,NARELLAN RD CNR SMEATON GRANGE RD,2567,02 46476190,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,150.7609900,-34.0469260
QLD,CAPALABA,WOOLWORTHS CALTEX,420-426 MT COTTON RD,4157,07 38235638,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,153.1973870,-27.5613270
NSW,MOUNT DRUITT,WOOLWORTHS CALTEX,NORTH PARADE,2770,02 96753650,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.8186920,-33.7686900
NSW,MOUNT HUTTON,WOOLWORTHS CALTEX,WILSONS RD,2290,02 49480296,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.6731240,-32.9837140
QLD,MOUNT ISA,WOOLWORTHS CALTEX,42 MILES ST,4825,07 47432507,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,139.4921310,-20.7240280
QLD,MOUNT OMMANEY,WOOLWORTHS CALTEX,171 DANDENONG RD,4074,07 37156600,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.9355560,-27.5513030
TAS,MOWBRAY,WOOLWORTHS CALTEX,262 INVERMAY RD,7248,03 63262433,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,147.1329220,-41.4058410
SA,MOUNT GAMBIER,WOOLWORTHS CALTEX,108-110 COMMERCIAL STREET,5290,08 87234975,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,140.7739520,-37.8262070
QLD,MURARRIE,WOOLWORTHS CALTEX,225 WYNNUM ROAD,4172,07 38907519,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,153.0791490,-27.4665230
SA,MURRAY BRIDGE,WOOLWORTHS CALTEX,1 STANDAN ST,5253,08 85324337,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,139.2737280,-35.1200490
NSW,MUSWELLBROOK,WOOLWORTHS CALTEX,72 BROOK ST CNR SOWERBY ST,2333,02 65414713,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.8907470,-32.2631940
SA,NARACOORTE,WOOLWORTHS CALTEX,12 MCRAE ST,5271,08 87624237,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,140.7415390,-36.9572220
NSW,NARELLAN,WOOLWORTHS CALTEX,330 CAMDEN VALLEY WAY,2567,02 46475627,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.7371120,-34.0401750
TAS,NEW NORFOLK,WOOLWORTHS CALTEX,81 HIGH ST,7140,03 62615973,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,147.0655540,-42.7801500
NSW,NEWINGTON,WOOLWORTHS CALTEX,1 AVENUE OF AMERICAS,2127,02 97480330,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.0556510,-33.8337860
VIC,NIDDRIE,SAFEWAY CALTEX,359 KEILOR RD CNR DEAN ST,3042,03 93510241,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,144.8936720,-37.7380490
NT,NIGHTCLIFF,WOOLWORTHS CALTEX,DICK WARD DRIVE,0810,08 89482746,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,130.8518940,-12.3895170
VIC,NOBLE PARK,SAFEWAY CALTEX,540 PRINCES HWY,3174,03 97012692,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,145.1793480,-37.9534030
VIC,NOBLE PARK,SAFEWAY CALTEX,CHANDLER HWY CNR HEATHERTON RD,3174,03 95475311,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,145.1875830,-37.9669940
VIC,NORTH MELBOURNE,SAFEWAY CALTEX,CNR DRYBURGH & ARDENS STREET,3051,03 93268386,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,144.9439760,-37.8003000
NSW,NORTH NARRABEEN,WOOLWORTHS CALTEX,1412-1414 PITTWATER ROAD,2101,02 99132702,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.2995070,-33.7008630
NT,COOLALINGA,WOOLWORTHS CALTEX,20 HENNING RD CNR STUART HWY,0836,08 89834457,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,131.0380210,-12.5254640
QLD,NORTH ROCKHAMPTON,WOOLWORTHS CALTEX,222 MUSGRAVE ROAD,4107,07 49226366,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.5233980,-23.3595170
WA,NORTHAM,WOOLWORTHS CALTEX,165 FITZGERALD ST,6401,08 96227912,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,,No,No,No,N,No,No,Yes,116.6715230,-31.6551450
VIC,NORTHCOTE,SAFEWAY CALTEX,HEIDELBURG RD CNR JEFFREY ST,3070,03 94868711,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,145.0092090,-37.7836730
QLD,NORTHGATE,WOOLWORTHS CALTEX,17 TOOMBUL RD,4013,07 32568767,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,153.0642900,-27.3833150
NSW,NOWRA,WOOLWORTHS CALTEX,58 NORTH ST,2541,02 44221850,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,Yes,150.6007970,-34.8723850
SA,O'HALLORAN HILL,WOOLWORTHS CALTEX,MAIN SOUTH RD,5158,08 82962315,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,138.5599090,-35.0517030
QLD,OXENFORD,WOOLWORTHS CALTEX,116 OLD PACIFIC HWY,4210,07 55027203,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,153.3133610,-27.8912080
QLD,OXLEY,WOOLWORTHS CALTEX,BLUNDER RD CNR ALBAN ST,4075,07 38792344,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,152.9818320,-27.5726460
VIC,PAKENHAM,SAFEWAY CALTEX,49 MAIN ST,3810,03 59416051,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.4799870,-38.0760280
NSW,PARKES,WOOLWORTHS CALTEX,78 CURRAJONG ST,2870,02 68626581,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,148.1756050,-33.1333450
VIC,PASCOE VALE,SAFEWAY CALTEX,566 BELL ST,3044,03 93506196,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,144.9371080,-37.7380990
VIC,PATTERSON LAKES,SAFEWAY CALTEX,2/14 THOMPSON RD CNR GLADESVILLE BD,3197,03 97730544,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,145.1418740,-38.0692330
NSW,PENRITH,WOOLWORTHS CALTEX,588 HIGH ST,2740,02 47316592,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.6933480,-33.7527300
NSW,PLUMPTON,WOOLWORTHS CALTEX,JERSEY RD CNR HYATTS RD,2761,02 96771217,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.8368850,-33.7447370
SA,PORT AUGUSTA,WOOLWORTHS CALTEX,25 TASSIE ST,5710,08 86412175,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,137.7666680,-32.4877130
NSW,PORT MACQUARIE,WOOLWORTHS CALTEX,1 BAY STREET,2444,02 65832117,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,152.8939910,-31.4291740
SA,PORT PIRIE,WOOLWORTHS CALTEX,137 FLORENCE ST,5540,08 86333406,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,138.0086320,-33.1773270
VIC,PORTLAND,SAFEWAY CALTEX,29 TYERS ST,3305,03 55235522,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,141.6024540,-38.3442540
VIC,PRESTON,SAFEWAY CALTEX,340 MURRAY ROAD,3072,03 94705129,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.0012210,-37.7376320
VIC,PRESTON SOUTH,SAFEWAY CALTEX,22 PLENTY ROAD,3072,03 94950333,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,145.0020930,-37.7515780
NSW,PRESTONS,WOOLWORTHS CALTEX,CAMDEN VALLEY WAY CNR ASH RD,2170,02 98268298,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,N,No,No,Yes,150.8727070,-33.9562490
NSW,PROSPECT,WOOLWORTHS CALTEX,360 FLUSHCOMBE RD,2148,02 96721005,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,No,No,No,N,No,No,Yes,150.9029830,-33.8045990
NSW,QUEANBEYAN,WOOLWORTHS CALTEX,196 CRAWFORD ST,2620,02 62981084,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,Yes,149.2332530,-35.3516880
NSW,RAYMOND TERRACE,WOOLWORTHS CALTEX,39 PORT STEPHENS ST,2324,02 49877696,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,151.7443750,-32.7599020
NSW,RICHMOND,WOOLWORTHS CALTEX,74 EAST MARKET ST CNR LENNOX ST,2753,02 45886833,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.7513270,-33.6005590
VIC,RINGWOOD,SAFEWAY CALTEX,379 MAROONDAH HWY,3134,03 98760141,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,N,No,No,Yes,145.2439180,-37.8057360
QLD,ROBINA,WOOLWORTHS CALTEX,110 LAVER DRIVE,4226,07 55622905,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,N,No,No,Yes,153.3799450,-28.0712520
VIC,ROSEBUD,SAFEWAY CALTEX,1 FOURTH AVE,3939,03 59821412,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,No,Yes,Yes,N,No,No,Yes,144.8989990,-38.3572910
NSW,ROSELANDS,WOOLWORTHS CALTEX,218 KING GEORGES ROAD,2196,02 97407865,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,No,No,Yes,N,No,No,Yes,151.0732670,-33.9330300
NSW,ROSEMEADOW,WOOLWORTHS CALTEX,LOT 272 THOMAS ROSE DRIVE,2560,02 46276299,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,,No,No,Yes,N,No,No,Yes,150.7987070,-34.1000730
